state_code,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arizona,1990,-2.5,-1.39,3.56,7.44,9.72,16.33,19.0,16.94,15.61,8.06,2.44,-4.06
Arizona,1991,-1.67,1.56,0.94,4.33,8.28,13.0,18.22,18.33,14.67,9.33,2.22,-0.17
Arizona,1992,-2.11,2.17,3.56,7.56,11.61,14.22,17.72,17.89,14.61,9.33,0.0,-2.33
Arizona,1993,1.28,1.33,3.39,6.06,10.89,14.06,17.5,17.83,13.28,8.39,1.0,-2.11
Arizona,1994,-1.94,-0.94,3.94,6.28,9.89,17.06,18.89,19.72,15.22,7.33,0.39,-0.06
Arizona,1995,0.0,3.22,3.5,4.67,8.5,13.06,18.06,19.72,15.78,7.89,4.5,-0.44
Arizona,1996,-1.22,2.94,2.89,6.44,11.61,16.28,20.22,19.0,13.89,7.94,3.0,-0.56
Arizona,1997,-0.44,-0.39,3.72,5.78,12.56,14.28,17.78,18.78,16.72,7.39,2.94,-2.17
Arizona,1998,-0.44,-0.28,2.06,3.56,8.5,12.83,19.33,19.22,15.39,7.72,2.39,-1.39
Arizona,1999,-0.61,0.44,2.94,3.94,9.67,14.72,18.89,18.06,14.72,8.44,3.61,-2.22
Arizona,2000,-0.11,1.44,2.78,7.5,12.33,16.89,19.17,18.94,15.33,8.83,-0.44,-0.78
Arizona,2001,-1.83,-0.28,3.28,6.0,12.22,15.94,18.89,18.39,15.5,9.72,4.28,-2.56
Arizona,2002,-1.72,-0.89,1.0,7.83,9.78,16.22,20.0,18.22,15.33,7.89,3.06,-1.5
Arizona,2003,1.44,1.17,2.89,4.78,11.11,15.39,20.28,19.33,15.5,11.28,2.39,-1.28
