state_code,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Michigan,1993,-1.67,-2.44,3.72,10.17,18.67,22.39,26.56,26.17,17.72,12.61,5.0,-0.17
Michigan,1998,-0.56,3.94,5.06,14.28,23.17,24.0,27.33,26.94,23.89,15.67,7.94,3.61
Michigan,2003,-4.44,-3.5,4.89,11.78,18.0,23.67,26.5,26.83,21.5,13.72,7.28,1.89
Michigan,2008,-1.11,-2.61,2.67,14.06,17.67,24.33,26.39,26.06,22.11,13.72,5.89,-2.0
Michigan,2013,-0.72,-1.78,2.33,9.44,20.56,23.89,26.56,25.72,21.72,14.78,5.11,-3.11
Michigan,2018,-2.28,-0.11,3.78,7.44,23.0,24.72,28.06,26.83,22.61,12.39,2.28,1.44
Michigan,2023,0.5,1.67,4.56,13.11,20.17,25.11,26.5,24.61,22.33,14.72,,
Minnesota,1978,-12.17,-7.94,1.94,10.56,21.11,24.33,25.67,26.11,22.67,13.89,1.78,-8.0
Minnesota,1983,-5.06,-1.94,2.44,9.78,17.5,23.89,28.89,29.06,20.39,12.11,2.06,-13.22
Minnesota,1988,-9.39,-7.0,3.11,13.78,24.33,29.28,30.17,27.22,20.67,11.28,2.17,-4.33
Minnesota,1993,-7.44,-5.83,2.17,10.78,18.22,21.61,23.94,25.0,16.72,11.83,0.78,-4.83
Minnesota,1998,-5.94,1.89,2.0,15.11,23.22,22.22,26.78,26.83,24.17,14.0,3.89,-1.83
Minnesota,2003,-7.11,-6.06,2.78,13.11,19.28,24.0,26.83,28.06,20.83,14.61,1.39,-2.0
Minnesota,2008,-7.67,-6.5,0.94,10.11,17.72,23.39,26.72,26.28,20.94,13.28,3.56,-8.22
Minnesota,2013,-6.11,-5.11,-0.56,6.17,17.94,23.61,26.61,26.61,22.78,12.06,2.5,-9.83
Minnesota,2018,-6.72,-6.5,2.72,6.56,23.78,25.39,27.0,25.78,20.39,9.22,-1.22,-2.33
Minnesota,2023,-5.22,-3.61,0.0,9.0,22.5,27.22,26.28,26.28,23.44,13.78,,
Mississippi,1978,6.44,9.5,17.33,25.56,27.89,32.0,34.11,33.0,30.94,25.89,21.94,15.22
Mississippi,1983,11.22,13.78,17.67,20.83,26.89,29.56,33.39,33.83,29.39,25.22,18.89,9.78
Mississippi,1988,10.17,14.22,19.5,24.83,28.94,33.11,32.44,33.17,29.61,22.11,20.67,15.0
Mississippi,1993,13.67,14.83,17.22,21.5,26.67,31.44,33.72,33.33,30.17,23.83,17.44,13.61
Mississippi,1998,14.5,15.67,18.67,23.22,29.89,33.5,33.83,33.67,32.0,27.11,20.72,15.11
Mississippi,2003,11.0,13.5,19.67,24.83,28.44,30.22,31.83,32.61,29.33,24.94,21.56,13.83
Mississippi,2008,12.22,16.83,20.78,24.0,28.0,32.44,34.0,31.11,28.78,24.06,18.22,15.06
Mississippi,2013,14.67,15.28,17.11,23.28,26.56,31.72,31.39,32.22,31.56,24.67,16.89,13.72
Mississippi,2018,10.56,19.33,20.44,22.11,30.89,32.67,33.17,32.56,31.06,25.61,15.67,14.56
Mississippi,2023,17.28,19.0,22.17,23.94,28.67,32.28,33.89,35.61,32.17,26.61,,
Missouri,1978,-2.11,-0.89,9.33,19.67,22.94,29.17,32.22,30.78,29.22,20.67,13.11,6.11
Missouri,1983,4.11,8.28,11.78,14.28,22.39,28.44,33.28,35.22,28.11,20.44,13.11,-3.06
Missouri,1988,3.22,5.33,13.67,20.33,26.56,32.0,31.44,32.61,27.17,17.61,13.89,8.44
Missouri,1993,3.39,4.61,10.06,16.33,23.33,28.0,31.0,31.06,23.22,18.22,9.94,6.67
Missouri,1998,6.06,9.61,9.67,18.33,26.78,28.89,30.67,30.78,29.22,21.17,14.67,8.0
Missouri,2003,2.94,4.83,13.61,20.22,23.67,26.67,31.89,32.67,24.78,20.94,13.28,7.11
Missouri,2008,5.33,4.39,12.61,17.28,23.17,28.72,30.44,29.17,25.28,19.78,12.11,5.44
Missouri,2013,6.67,6.67,8.72,17.44,23.44,28.44,29.89,29.44,28.22,19.67,11.28,4.61
Missouri,2018,3.67,8.0,12.28,15.67,28.94,31.22,32.0,30.56,27.56,19.56,8.17,7.61
Missouri,2023,7.89,10.89,12.33,20.89,25.67,30.33,31.78,30.44,28.39,21.5,,
Montana,1978,-7.44,-3.67,5.33,10.83,15.28,22.5,25.0,24.94,20.22,14.83,-0.17,-5.72
Montana,1983,2.0,4.89,6.22,10.89,16.11,21.67,26.5,29.5,18.39,13.89,4.39,-10.61
Montana,1988,-2.11,2.22,7.11,14.67,20.56,28.5,29.11,27.83,19.94,15.78,4.17,0.33
Montana,1993,-5.39,-3.17,7.33,11.72,19.56,19.67,19.89,22.67,18.61,13.22,1.78,1.56
Montana,1998,-1.72,4.67,4.17,13.44,19.44,18.67,28.72,28.78,24.61,13.5,4.67,-0.89
Montana,2003,1.61,-0.39,4.89,13.39,16.78,21.89,30.56,30.0,20.44,16.11,1.17,1.22
Montana,2008,-1.39,1.72,6.06,10.61,16.22,21.06,27.94,27.61,20.06,13.44,7.56,-4.56
Montana,2013,-0.44,2.67,5.83,9.28,18.17,22.22,28.11,28.0,21.94,11.28,5.0,-3.22
Montana,2018,-0.33,-5.17,3.61,10.0,20.06,21.89,27.89,26.56,18.89,11.83,4.11,1.06
